Product Name,Price,Product Link
AQUAFRESH TOOTHPASTE HERBAL 100ML,"3,450",https://app.isokko.com/shop-item/1460/aquafresh-toothpaste-herbal-100ml
LES PALAIS 75CL,"24,725",https://app.isokko.com/shop-item/852/les-palais-75cl
Nike Black Sports Shorts with Large White Logo,"25,000",https://app.isokko.com/shop-item/4282/nike-black-sports-shorts-with-large-white-logo
TROP HEAT POTATO CRISPS SALTED 200G,"2,300",https://app.isokko.com/shop-item/1534/trop-heat-potato-crisps-salted-200g
Bose – Sport Earbuds True Wireless In-Ear Earbuds,"410,000",https://app.isokko.com/shop-item/4084/bose-sport-earbuds-true-wireless-in-ear-earbuds
WALL LAMP STAINLESS STEEL LL 2000-62-DL-SS,"40,800",https://app.isokko.com/shop-item/9156/wall-lamp-stainless-steel-ll-2000-62-dl-ss
NATURES OWN GROUND SPICE TURMERIC 50G,"1,139",https://app.isokko.com/shop-item/1785/natures-own-ground-spice-turmeric-50g
SNICKERS ICE CREAM,"4,000",https://app.isokko.com/shop-item/9377/snickers-ice-cream
INYANGE MINERAL SPARKLING WATER GLASS 350ML,"1,400",https://app.isokko.com/shop-item/1986/inyange-mineral-sparkling-water-glass-350ml
Britania Digestive Biscuit,"1,840",https://app.isokko.com/shop-item/7045/britania-digestive-biscuit
MANJI DIGESTIVE 200G,"3,450",https://app.isokko.com/shop-item/1760/manji-digestive-200g
MENTOS PURE FRESH MINT BOTTLE 31.5G,"2,875",https://app.isokko.com/shop-item/883/mentos-pure-fresh-mint-bottle-315g
URUGWIRO MARACUJA SQUASH,"9,775",https://app.isokko.com/shop-item/8732/urugwiro-maracuja-squash
VON COOKER F9S50G2 6G 90*60,"740,000",https://app.isokko.com/shop-item/8718/von-cooker-f9s50g2-6g-9060
Men's Light Yellow Zip-Up Hoodie,"35,000",https://app.isokko.com/shop-item/4263/mens-light-yellow-zip-up-hoodie
Men's Grey and Charcoal Panel Shirt - Berwa Mentality,"100,000",https://app.isokko.com/shop-item/4229/mens-grey-and-charcoal-panel-shirt-berwa-mentality
Johnson's VITA-RICH Soothing BODY LOTION with rose water 400ml,"5,640",https://app.isokko.com/shop-item/10111/johnsons-vita-rich-soothing-body-lotion-with-rose-water-400ml
TIFFANY CREAM SANDWICH-ORANGE 84G,805,https://app.isokko.com/shop-item/1359/tiffany-cream-sandwich-orange-84g
ENCONA THAI SWEET CHILLI SAUCE MEDIUM 142ML,"7,130",https://app.isokko.com/shop-item/1558/encona-thai-sweet-chilli-sauce-medium-142ml
YONGO COFFEE BBQ TOMATO SAUCE 340G,"6,210",https://app.isokko.com/shop-item/2203/yongo-coffee-bbq-tomato-sauce-340g
GRAND OR EDAM CHEESE 230G,"13,500",https://app.isokko.com/shop-item/392/grand-or-edam-cheese-230g
Florsa Freezer CF-160,"300,000",https://app.isokko.com/shop-item/6061/florsa-freezer-cf-160
BABY STEPS DIAPER MEDIUM 5-10KG,"4,025",https://app.isokko.com/shop-item/1876/baby-steps-diaper-medium-5-10kg
Gear Airplane,"10,580",https://app.isokko.com/shop-item/6507/gear-airplane
Fox’s Golden Creams Crunch 200g,"5,000",https://app.isokko.com/shop-item/10848/foxs-golden-creams-crunch-200g
WILKINSON SWORD XTREME 3 BLACK EDITION,"14,950",https://app.isokko.com/shop-item/1906/wilkinson-sword-xtreme-3-black-edition
EVERYDAY CORNFLAKES 750G,"11,098",https://app.isokko.com/shop-item/103/everyday-cornflakes-750g
GOLDEN BISCUITS FAMILY 200G,"1,955",https://app.isokko.com/shop-item/2697/golden-biscuits-family-200g
BONI PIZZA SPECIALE 660G,"28,750",https://app.isokko.com/shop-item/8858/boni-pizza-speciale-660g
Lyons Salad Dressing Italian Vinaigrette,"4,428",https://app.isokko.com/shop-item/6260/lyons-salad-dressing-italian-vinaigrette
"Kaju Salted, 250g","9,600",https://app.isokko.com/shop-item/10707/kaju-salted-250g
"MICROSOFT 15V 2.58A Pro 3,4","79,200",https://app.isokko.com/shop-item/8413/microsoft-15v-258a-pro-34
No name found,No price found,https://app.isokko.com/shop?page=2
